BI_SNV_SBS1_P	BI_SNV_SBS2_P	BI_SNV_SBS4_P	BI_SNV_SBS5_P	BI_SNV_SBS7a_S	BI_SNV_SBS7b_S	BI_SNV_SBS7c_S	BI_SNV_SBS8_P	BI_SNV_SBS9_P	BI_SNV_SBS10a_S	BI_SNV_SBS11_S	BI_SNV_SBS12_P	BI_SNV_SBS13_P	BI_SNV_SBS14_S	BI_SNV_SBS15_S	BI_SNV_SBS16_P	BI_SNV_SBS17a_P	BI_SNV_SBS17b_P	BI_SNV_SBS18_P	BI_SNV_SBS19_P	BI_SNV_SBS21_S	BI_SNV_SBS22_P	BI_SNV_SBS26_S	BI_SNV_SBS28_P	BI_SNV_SBS30_P	BI_SNV_SBS31_P	BI_SNV_SBS33_P	BI_SNV_SBS36_P	BI_SNV_SBS37_P	BI_SNV_SBS38_S	BI_SNV_SBS39_P	BI_SNV_SBS40_P	BI_SNV_SBS60_P	BI_SNV_SBS55_S	BI_SNV_SBS44_S	BI_SNV_SBS61_S	BI_SNV_SBS62_S	BI_SNV_SBS63_P	BI_SNV_SBS64_S	BI_SNV_SBS65_S	BI_SNV_SBS66_S	BI_SNV_SBS67_P	BI_SNV_SBS68_S	BI_SNV_SBS69_P	BI_SNV_SBS70_P	BI_SNV_SBS71_P	BI_SNV_SBS72_S	BI_SNV_SBS73_S	BI_SNV_SBS74_P	BI_SNV_SBS75_S	BI_SNV_SBS76_S	BI_SNV_SBS77_S	BI_SNV_SBS78_P	BI_SNV_SBS79_P	BI_SNV_SBS80_S	BI_SNV_SBS81_S	BI_SNV_SBS82_P	feature
0.000530107	0.000190144	0.000221069	0.002278105	0.000146271	0.00077073	0.006869666	0.000733434	0.00538001	0.000297941	8.87E-05	0.005158694	0.000116225	0.001945285	0.000223275	0.001495391	0	0.021174039	6.52E-05	0.000521709	0.000555545	0.001051883	0.012779488	0.024412724	0.000460873	0.001005942	0.003069753	0.000232958	0.000711012	0.000706342	0.006308984	0.009387771	0	0.002704245	0.004296456	0.001778405	0.000651232	0.000777748	7.54E-05	0.004269858	0.000610863	0.011691999	0.000946777	0.000657221	0.003877391	0.003485582	0.002424127	0.00114465	0.009007378	0.000816228	0.003578634	0.015456854	0.003551277	0.002472384	0.007052842	0.004534808	8.54E-35	T>G_at_CTC
0.000828211	0.000129884	0.000138528	0.000890169	0.000214455	0.000859278	0.0022195	0.000403255	0.01010975	0.00221041	0.000112275	0.002150011	9.41E-05	0.003400249	0.000109734	0.005139476	0.001007464	0.003630497	0.00058697	0.001140969	0.001344068	0.000491552	0.003395275	0.013193502	0.000414525	0.001870801	0.00069013	0.000218889	0.009326939	0.000831683	0.002393479	0.02153831	1.18E-06	0.008771932	0.00060251	0.004978529	0.000843985	0.000395878	0.000546215	0.008047315	0.003365697	0.002160741	7.55E-05	0.001132995	0.001288605	0.000918107	0.00426195	0.00112137	0.012078599	0.000416509	0.004389808	0.004041724	0.00658918	4.28E-49	1.24E-05	0.014242909	2.28E-05	T>G_at_ATC
0.000707894	0.000264308	0.000596992	0.001521752	0.000242136	0.00199182	0.011664097	0.000624801	0.09971027	0.016218734	0.000186171	0.000782754	0.000173102	7.12E-05	3.74E-05	0.003481374	0.000735263	0.003188389	0.001509758	0.001099132	0.000987631	0.002689242	0.000534539	0.005823862	0.001291009	0.000646171	0.000354288	0.000593353	0.005412545	0.00137464	0.011768864	0.007582936	0	0.001709653	0.000117247	0.025547211	0.006642184	0.001220221	0.000444006	0.000864172	0.002016745	0.002268011	8.24E-06	0.002704931	0.001684584	0.078835961	0.003477386	0.001770636	0.009424061	0.007549822	0.018198404	0.000434985	0.003459097	0.012805526	0.000804428	0.004755763	0	T>G_at_TTA
0.000658986	0.000112458	0.000477934	0.000670755	9.41E-05	0.000264382	0.00106173	0.00161755	0.017187519	0.000188089	3.96E-05	0.000405698	5.92E-05	0.000215112	9.63E-05	0.001418519	0.000966124	0.000691432	0.000797254	0.00056933	0.000347757	0.0015609	0.000837793	0.001575057	0.000409516	0.000764569	0.000876971	3.62E-06	0.012687779	0.000953039	0.006840035	0.001327248	0.010685573	0.009431489	3.51E-05	0.001497898	0.000989722	0.000806398	0.000209109	0.000627822	0.002149018	0.003525724	5.61E-05	0.001162995	0.001141075	0.006205313	0.001266477	0.000945424	0.002376999	0.000726715	0.002665529	0.001146565	0.00267763	0.015205215	0.00049023	0.007473625	0.003560685	T>G_at_GTA
0.000118803	5.32E-05	0.000636246	0.002584937	4.54E-05	0.000455482	0.00104549	7.23E-05	0.036041972	0.001259571	8.84E-05	0.000874502	9.34E-05	0.000150312	9.72E-05	0.001369138	7.51E-05	0.002047814	0.00041257	0.000438707	0.000224132	0.003919592	0.002187435	0.007540078	0.000136707	0.00253379	0.003744093	0.000213582	0.000263284	0.000697307	0.006933761	0.001620116	0	0.002327402	0.000864464	0.006281649	0.000977883	0.003637168	0.000225022	0.005143774	0.003444899	0.003143054	7.44E-05	0.000563783	0.002129427	0.014763708	0.002537843	0.000285255	0.002013111	0.000830108	0.0085091	0.000959232	0.000423008	0.042510484	0.00167911	0.001170924	0	T>G_at_CTA
0.002242732	0.000267359	0.000973794	0.00199248	0.000617013	0.000682667	0.003447684	0.003810242	0.075841009	0.002594702	0.000259424	0.001478551	6.95E-05	6.79E-05	7.78E-05	0.010780817	0.000475187	0.002163504	0.000861319	0.001467547	0.000956814	0.003948862	0.001030413	0.002928528	0.000630276	0.001108687	0.000793443	0.000459374	0.015967551	0.003277166	0.006458398	0.00920828	0	0.00638297	0.000160285	0.00675542	0.000505631	0.000660328	0.000681522	0.003358999	0.003171121	0.002244113	0.000229824	0.003455334	0.006212551	0.040814761	0.002334069	0.001601871	0.011773507	0.006694939	0.003494733	0.000708637	0.01040561	0.000140282	0.002270618	0.023089022	0	T>G_at_ATA
0.003803517	0.000239343	0.00139535	0.019102813	0.000203222	0.002131769	0.088204644	0.006992835	0.046226652	0.004934414	0.000508678	0.049989956	0.000656616	0.004441206	0.002735469	0.003096452	0.041896523	0.008089409	0.005613104	0.007018023	0.037947198	0.001151025	0.021625264	0.022669464	0.007317407	0.00279691	4.17E-08	0.001162903	0.035474707	0.004317087	0.015252205	0.007320929	0	0.000535993	0.024228037	0.015116565	0.003732417	0.021062228	0.007967825	0.047303272	0.009049324	0.001596992	0.020249019	0.000307848	0.080923385	0.016107631	0.015510556	0.036274592	0.020939568	0.034229281	0.021189491	0.008532064	0.033260291	0.00169878	0.125912018	0.046556813	0	T>C_at_TTT
0.006058991	0.000494527	0.001322941	0.02121618	2.19E-07	0.010250086	0.000580628	0.002373233	0.010281457	0.007807247	0.000726275	0.035674675	0.000241166	0.015298238	0.005119199	0.000816005	0.02287024	0.008367522	0.001452375	0.015167622	0.083987772	0.0008022	0.047108188	0.006656682	0.007090015	0.000616296	0.000170766	0.001802735	0.032941616	0.00408855	0.009586855	0.002342326	0	0.165971451	0.003036644	0.014941917	0.015979748	0.011514334	0.03277807	0.027105803	0.026168721	0.011196761	0.003016703	0.002549155	0.087640412	0.000879662	0.056594322	0.050997374	0.038805605	0.122834412	0.059572908	0.006777536	0.021895833	0.017836806	0.016723031	0.001099288	1.23E-06	T>C_at_GTT
0.000697043	0.000427129	0.002831435	0.012229641	0.002900923	0.007058251	0.021705749	0.002343944	0.018027251	0.000280922	0.000236225	0.030061209	0.000253021	0.003340717	0.00123334	0.014168803	0.30548421	0.094645218	0.001761362	0.002487686	0.012323788	0.001406802	0.051752768	0.027581412	0.00370982	0.012161142	0.000327213	0.000720388	0.027284256	0.003238104	0.013505202	0.008186155	0	0.001653518	0.014795102	0.001654272	0.000340776	0.007146684	0.006196557	0.007295253	0.002478854	0.002135039	0.000897788	0.00078931	0.024993064	0.004592519	0.021857297	0.019078607	0.005680516	0.046431734	0.002894683	0.000586661	0.014713359	0	0.02586776	0.020768871	0	T>C_at_CTT
0.013044472	0.000447315	0.00191154	0.041433946	0.000849672	0.003525721	0.001076055	0.014127567	0.030156911	0.001767864	0.001203208	0.045985317	0.000930595	0.004718685	0.000985792	0.206415159	0.01038843	0.002741715	0.005915688	0.003320389	0.023584224	0.001458298	0.030667965	0.006448715	0.018181352	0.000493925	0.000681735	0.003249831	0.023165365	0.005160106	0.020824403	0.014722598	0	0.010559519	0.004873714	0.008710138	0.003364616	0.010863243	0.005486716	0.028309206	0.008521095	0.024129939	0.00132476	0.000780221	0.063376965	0.004276553	0.005334744	0.018041385	0.01785925	0.016903768	0.009436948	0.002220931	0.037297674	0.000644198	0.004362204	0.001659044	0	T>C_at_ATT
