,Before,After
103,-18723.78867553514,-18858.245525074355
104,-50205.35113273787,-50255.558271015856
105,-27329.15638356215,-27571.504720971378
106,-5843.271914833769,-5944.229555004412
107,-20532.189575073473,-20743.69866235034
108,-12163.136132610261,-12314.72050958539
109,-28932.379049072915,-29076.792101049643
110,-15626.10449942589,-15789.483781385836
111,-7974.256261452098,-8081.747716340226
112,-11218.514392186473,-11299.472499593978
113,-13102.654409376648,-13245.853127209595
114,-29833.423215722374,-29998.25881719918
115,-17849.775158572378,-18000.115543042568
116,-13899.745318999525,-14091.759505050764
117,-14153.133338184816,-14311.353035432578
118,-638478.9717959749,-639210.2446709274
119,-12568.108526499327,-12746.942262620345
120,-25459.082695883953,-25594.473243046097
121,-11581.032429913712,-11663.611510244371
122,-19740.262798276275,-19977.962738402315
123,-11161.26441038331,-11305.56086080763
124,-11955.988449660246,-12149.486262277771
125,-9606.138051502387,-9737.531170153814
126,-306146.61859107437,-307489.9513852522
127,-17281.85568955383,-17476.861670570015
128,-21596.634022333947,-21877.92871282771
129,-13717.137632102607,-13846.602446848876
130,-17103.15617901435,-17231.786869391864
131,-60578.398297983855,-60683.268403844464
132,-11524.850403140392,-11665.641090680585
133,-18145.923542917382,-18247.711852097164
134,-16370.003069382758,-16545.020515101234
135,-15949.289492958076,-16047.630495788471
136,-28123.9422729456,-28384.46167023945
137,-32737.4637741905,-33141.47959832267
138,-63186.0297235261,-63495.814641778066
139,-28051.933320839256,-28303.94214812409
140,-56368.5666279439,-56890.14133889822
141,-7450.153229287295,-7539.511439360337
142,-322285.9249525684,-322770.2053614631
143,-52399.99628826875,-52830.74587423124
144,-7244.5759786064655,-7329.104577045069
145,-10074.893638517276,-10217.183726762556
146,-20634.457805600367,-20837.84265195207
147,-32454.270069312304,-32562.18677010443
148,-79603.4380576767,-79650.46013773231
149,-21848.392349064703,-22071.889211301663
150,-14157.646099343207,-14289.4266823243
151,-20445.67851519796,-20630.989709967045
152,-13341.453091797073,-13414.318651105234
153,-16625.085202751645,-16732.9829450924
