,Before,After
106,-72944.46572608128,-73278.44299835035
107,-21426.990755694842,-21720.226289718325
108,-46285.040497529735,-46692.42172095408
109,-81070.66750684672,-81801.24592574476
110,-87477.61620340009,-88193.07203975173
111,-36136.762076173225,-36378.28620467248
112,-28827.17559110446,-29076.238933829783
113,-7299.163721036329,-7395.720551478525
114,-111229.13040831313,-111579.89533642339
115,-31319.535709782387,-31644.41329856542
116,-73302.96154682677,-73511.55309583651
117,-54726.87372994054,-55604.37436813307
118,-23273.848187160616,-23331.215276245788
119,-43254.6575754201,-43455.728768020366
120,-15550.275863902865,-15751.874998152842
121,-10843.017385211584,-10974.409220619273
122,-20306.147964905045,-20493.589895877343
123,-29277.114735804247,-29673.5049006833
124,-64512.06792414077,-64705.53214599529
125,-39750.89808198838,-40006.040473202724
126,-28333.635183298633,-28498.800338741177
127,-42408.89874199113,-43080.145684302624
128,-28036.58973660253,-28181.96431911331
129,-66875.78508838092,-67128.99977073462
130,-33577.636132822015,-33736.141212670766
131,-18683.793084785433,-18725.78870879181
132,-41888.88099488324,-42387.87786525643
133,-21329.728266888695,-21588.94040317019
134,-10976.277391243055,-11130.243327080252
135,-25965.48365633174,-26003.740097168888
136,-9561.166231278828,-9576.993738468036
137,-75417.73035145323,-75744.24209509445
138,-49049.11233452383,-49762.915674082185
139,-46159.584282185584,-46241.527339115484
140,-28545.411139829434,-28625.889519350672
141,-27352.98976629636,-27692.888758366626
142,-103640.70005088714,-103845.4238539266
143,-68226.27071777404,-69580.90603716887
144,-32797.46177735954,-32913.94710664277
145,-52063.946297335555,-52342.69460374374
146,-79505.58047036084,-80318.12081769174
147,-47164.154754898096,-47304.61863449318
148,-34957.54798011241,-35439.168128870726
149,-136355.19862466492,-136445.9174542646
150,-55712.57919036752,-56469.06996699581
151,-42100.25952146631,-42362.82504156164
152,-76535.69527465326,-77215.2138678806
153,-36103.65905764682,-36316.89561183762
154,-61578.063558589914,-62279.20559525877
155,-49785.19882640119,-50895.294985068445
156,-37182.107708039664,-37569.267815187566
157,-85436.72484038203,-85691.0864899166
158,-27845.436063550464,-27970.138567547692
159,-42688.34670699795,-42968.88685829778
160,-12222.020307782166,-12321.820413448932
161,-22569.671234823527,-22940.71704017518
162,-4776.420027124606,-4979.123675624777
163,-25869.476799104566,-26098.397520646697
164,-69367.58601634404,-69869.52663795087
165,-51220.09752699192,-51920.37360025664
166,-41600.60028373115,-42128.05003812414
167,-80056.6959208482,-80773.56062375513
168,-84798.35179163193,-85826.16817059087
169,-33680.41858583778,-34001.1778767162
170,-49139.56907172402,-49396.954705652905
171,-78822.36722075731,-79755.50283942338
172,-62291.96817708582,-62533.64433842092
173,-55857.96495081087,-56424.08828436095
174,-58293.50309121695,-58677.53554125693
175,-80638.08145987183,-80899.22288360841
176,-80206.22953577731,-80648.79079131507
177,-40889.68439158841,-41449.517493236286
178,-12671.446640223869,-13027.903951284516
179,-40724.39385333812,-40884.928186953475
180,-46686.83597945045,-47028.96554787533
181,-41033.9319764332,-41501.6205290987
182,-93082.42844011981,-94327.49045176573
183,-29265.410601551557,-29435.023557025954
184,-48890.33156243875,-49150.146319388004
185,-38769.623692032415,-39218.602094753594
186,-36694.350284997985,-36867.01058158452
187,-29547.152680242587,-29757.078152238304
188,-124171.78067189937,-125880.70569675065
189,-187845.53815703496,-187887.26095849514
190,-52568.188967608025,-53014.21251467455
191,-5860.480216567399,-5886.783256947365
192,-40427.27921986399,-40899.4110952981
193,-66012.95142809363,-66233.05408843176
194,-33190.272040320604,-33431.08934882637
195,-366871.5122531949,-368241.49777533417
196,-24572.226200427842,-24897.04949882393
197,-56167.48959279921,-56947.478848686515
198,-71794.6741346596,-72330.75282664892
199,-11571.393154623294,-11724.734541098744
200,-81625.20113612468,-82364.18838545318
201,-159670.41690437205,-159687.28992859455
202,-60760.67341211651,-61105.7776746407
203,-65890.51757542505,-66681.1479986981
204,-26059.252928228245,-26216.24379601631
205,-42110.45392866047,-42446.69198749036
206,-32586.52441930852,-32644.975347199095
207,-18848.08619604426,-18862.01646278208
208,-31082.19465893416,-31331.571072751933
209,-28445.790571070604,-28786.608454844638
210,-38812.5248133154,-39097.28718899866
211,-88660.09504018698,-88903.18460510115
212,-25311.851993286757,-25527.64967382855
213,-16781.895543643746,-16955.295405386456
214,-8817.609024675754,-8877.07075521241
215,-65608.56834387667,-65704.62809065917
216,-27115.80606963932,-27348.870529386993
217,-18967.98711444236,-19212.60348788097
218,-71593.79312322495,-72541.70588700977
219,-12445.103690582217,-12550.794357027795
220,-10038.420879316993,-10161.529528518166
221,-46223.70069914341,-46477.454023042366
222,-15432.183960303279,-15630.358813469698
223,-21801.56414647958,-22051.84648663202
224,-57102.29574096297,-57417.04514532848
225,-44597.40803530283,-45184.24850023404
226,-43594.62925853694,-43795.49079715544
227,-56553.32560694068,-56917.25111880588
228,-41198.20577595724,-41651.1434438693
229,-39726.343833726285,-40359.21425387385
230,-71520.31947580236,-71812.13495365182
231,-70210.15245281968,-71000.53816596554
232,-52180.621513355916,-52737.92458385929
233,-82565.5047848465,-82921.45756463979
234,-47924.17101943137,-48699.637492411595
235,-108912.34255616512,-109817.98509749176
236,-63020.76779298096,-63675.34504119428
237,-37151.746023153755,-37419.253502999214
238,-74542.6396798829,-74979.30474069678
239,-31456.458598790698,-31900.116887040702
240,-102671.09129047846,-103394.58237896656
241,-92989.04753833015,-93728.7755246367
242,-50687.53838874868,-51330.79513858528
243,-30160.08271406799,-30622.84401239887
244,-39238.91759011304,-39535.78096602509
245,-19508.666183745103,-19640.341652110445
246,-67579.28093412158,-68446.73460920945
247,-47541.6733902336,-48043.18680244678
248,-23838.254503460455,-24266.411168782153
249,-88118.44435388994,-88713.9878872365
250,-17857.021587081654,-17925.895233979238
