0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Biliary-AdenoCA,-0.08573659383724201,-0.0280228584623299,-0.07085760161105605,0.07619525186901789,0.25566133595131735,0.05067710779916818,-0.05321920381636946,0.11441522002979661,-0.14375454918811395,-0.12391314187707497,-0.1497817670918111,-0.00727332094018416,-0.06200265842556681,-0.08205964286463578,-0.19749381167970792,0.10573534425087945,-0.30621139014646287,-0.26918295354989363,-0.30193567499617124,-0.25707712941753413,-0.33962966867142913,-0.427440745494221,-0.3420990698987288,-0.33550491121223747,-0.25799521781926316,-0.08456301963110789,-0.31651133521096864,-0.27585948085884054,-0.10879282501287023,-0.2525906749449713,-0.3157555893660153,-0.05675591698215291,-0.14144740298280828,-0.06919501447853042,-0.022962350066222444,-0.18301278546580216,-0.016792945926473925,0.02346256897543082,-0.06695394326646363,-0.0017818769380365067,-0.06027974064376794,0.10523038966822379,0.0883081736043323,-0.002352268361085636,0.03238571659030039,0.07453826477215587,0.015996064354639215,0.1586326469173277,0.7123908236133705,0.6617203944261776,0.004079365421859463,0.2727515614834886,1.0,0.09691775150522489,0.5008356428628978,0.41659266352402685,0.23380152911160257,0.39445978532517334,0.11876690404968163,0.1892905423412169,0.40689950620284343,0.14975122062374338,0.05891394361501652,-0.10656732747631288,0.07576767801230637,-0.007496433191067433,-0.09732104954274647,-0.12525371222717,0.22867539538858997,0.10815388425193274,-0.006242347579329011,0.032305389298818835,-0.011437356611721548,-0.017975118036003723,-0.06468715576967758,0.04294427318814385,0.12111780019251467,-0.040298847324731775,0.017297269476600846,0.07301437745476601,0.10972516914280207,-0.1932012282791316,-0.32914054460406594,-0.1702220553033899,-0.015359894104343054,-0.09126816019833883,-0.11647329394465723,0.19521453259948787,-0.18044260070654428,-0.0029026266096589407,-0.264803912750337,0.238119680442671,0.10479275159003675,-0.3385144598633039,-0.18251529408389708,-0.12621999270917406
Bladder-TCC,0.2606894159988184,0.03162380839439774,0.5094813780673227,0.2940528839370618,0.8340146491028292,0.6506826824763635,0.2127389441309131,0.7890985921472548,0.14929450256714694,-0.016062134064506416,0.20035100185661162,0.2576248210189985,-0.1703059401615731,-0.07904132962191887,-0.45425189199012617,0.055278393730840245,-0.17603110158057628,-0.23168371998007511,0.05353412310108996,-0.19826414057490158,-0.0965704451732461,-0.40882238585519454,0.5719952283027865,-0.09754285128587378,-0.13380116179112939,-0.23895942151767657,-0.07661094086312431,-0.2956514030612433,-0.019023222524527972,-0.023770915511064115,-0.017414676014941642,0.020779738466973976,-0.25241743491901597,-0.19465330938545003,0.03743953265767221,-0.17487878204295293,0.9085943604260249,0.45898007162017546,-0.14061114565678395,0.6064348575584019,-0.07204054715972462,-0.1082993734268563,0.04823194284805679,0.16912018370256393,0.02892500917791325,-0.023941208916824032,0.017360280405238678,-0.09445070581769677,0.5448812674794026,-0.30859487834976485,-0.23414848419585305,1.0,0.9599465267055676,-0.17603116893359963,0.5903020550131897,0.47150136350508376,0.39809900688243927,-0.12143517974684737,0.20279999247900687,0.2231409041364742,0.9802348493564149,-0.17706899134586687,0.1397932483205504,0.08533530912352848,0.2231058943206698,-0.398229003552118,-0.274513465332296,-0.2775110713480151,0.4701291117075663,-0.39948058797958275,-0.43399480490199266,-0.09639347784858424,0.6323283685748846,-0.28599473918382334,-0.3195797408373856,0.01304125402402198,0.4529441554860306,-0.2340680040837367,-0.1111757027835323,-0.13072894097441984,-0.01990512383610207,-0.37838485388559495,-0.6110772784684568,0.12389161014801717,0.3203616543000563,-0.5266243601336679,-0.3489162203516909,0.08602168142026588,-0.2820229527482792,-0.30991792050023775,-0.45591535885212675,0.6837271525500135,0.0028282413061534437,-0.6346772273507335,-0.34623960298412443,-0.16362987572936416
Bone-Benign,0.2960280487559324,0.08633480431071054,0.21135606111892388,0.15190660632479694,0.054650058794567656,-0.042430144202712974,-0.04097287572892409,0.14716814324512936,0.09859298397016623,-0.08057301388667512,-0.050130415343850786,-0.1215273922857367,0.006949641108734293,-0.060621966036908254,-0.021129484307703984,-0.06515371791753058,-0.03278141582448613,-0.11142788019799595,0.1557773190122149,-0.1560671274749652,-0.12346990442933053,-0.24754990815567746,-0.060343287096185735,-0.30343696223478134,-0.03777785768794963,-0.0749180927430404,0.01710842017907552,-0.23673546723183467,0.0007049371582346524,-0.06622261732317808,-0.08039409118681842,0.031318477622541314,0.0652931891417976,0.006949933307907223,0.020224526274690867,0.07769157881245348,0.08163750051674577,0.007522297487116099,-0.07602352107940626,0.2528751488672794,-0.034316860705727495,-0.0573947179386418,-0.03745253821302061,0.16957732176763451,0.033492830818799633,0.049402953538083424,-0.05426638060248325,0.20450153613089314,0.510685824147416,0.061027530087935614,0.12390691458386976,0.31745211964297704,0.07908132876235527,0.009630731511510868,0.06479547005131638,0.07362853533023002,0.019860838789515146,0.2292751775699095,0.055920916511498116,0.14649060165449618,0.0687259360323916,-0.04028637323571121,-0.08337024361129941,0.0027828393369047633,-0.13197265428945876,-0.17123202310983562,-0.26048916528200333,-0.1380705349161133,-0.11405197933785967,0.12074311941942484,-0.2645440876896839,-0.13332897287275222,-0.0493265533065577,0.05897965937741701,-0.1792059483902078,0.015183977125793592,-0.1347994151890773,0.045384425171201344,-0.19093013417697485,-0.07138322747268151,0.4444922894965277,-0.12513380878565414,-0.08194674008108567,-0.12903928923529362,0.11376571648755641,-0.10525725940963784,-0.010472857139430164,-0.07130115452634159,0.09369877873326869,0.1626177128923968,1.0,0.2988056974341373,-0.11575543260523326,-0.15103251452112154,0.05756373881998714,-0.07351018691186868
Bone-Epith,0.04317203372497321,0.21690967553034646,0.013548910710497743,0.3077404826269656,0.014833482072049185,0.0322211858085119,-0.12249281040977503,0.14750659878625139,-0.015433916088085416,-0.012256740258741636,-0.1371305327157811,-0.033330425263105846,-0.059449500459253714,-0.12161897835621034,-0.14772074886001446,0.01015168452817003,-0.12404179118963927,-0.12888230642410078,-0.034880092016588767,-0.1585131681808641,-0.17373710001877124,-0.17880489443608738,-0.18217203996707754,-0.2193007570687817,-0.10432395281160368,-0.11698604313576363,-0.07847092568275547,-0.07668501886285134,-0.03250269671974982,-0.1247154825862553,-0.18558833294206492,0.041335930268512386,-0.020978487504022435,-0.05172701291170423,-0.005364282076991409,-0.09491496284430152,-0.02845979584459681,-0.07560247588697867,-0.0982774313655452,0.006349836405390567,-0.06440541517541369,-0.056520571958963095,0.07407902188963107,-0.020907194227814285,-0.007994052817864826,-0.07237272695223985,-0.052405515286809486,0.017208759711650576,0.7747891536772676,0.36857064730780015,0.15058515106862708,0.4169874277475345,1.0,0.07014148548797854,0.49764611502399064,0.350888150139105,0.4346313248266103,0.21915271532558336,0.32984996639980746,0.33185759411246213,0.290913254149887,-0.013549689472902915,0.09216928850807285,-0.06785235222320028,-0.023713914408711737,0.012487337045174171,-0.16240615663547756,-0.03904218671296255,-0.07824020416556787,0.1403117561436554,-0.14833358479803627,0.008125008693698558,0.4769060609306388,0.2650031735296791,0.008647128032966155,0.44536690011961727,0.1072388240734338,0.2863865560258017,-0.059508214854475834,0.10960759290317323,0.1919380751447978,-0.12477591257850408,-0.14562241403717788,-0.24770761298752123,0.03260057468006965,-0.1611694949068849,-0.04936173378642779,-0.20284532072983597,0.10612794068538309,0.008306724519981193,0.2700647701842565,-0.014318031191821788,-0.08083166755127895,-0.20735017656652852,-0.15634274687439725,-0.22603721112603772
Bone-Osteosarc,-0.056278271318513595,0.06827079499948763,0.030265857203966077,0.23303380929435602,-0.017046432915080793,-0.052381717716103386,-0.04243303905506009,0.24798899243554726,0.16610217229180887,-0.04230523082490721,-0.17107735884281638,0.1578257373729732,-0.09643419464768353,-0.14548749142011133,-0.18360461832379146,0.09385109942670616,-0.07522228812976293,-0.16491244630381208,0.1649488095475252,-0.13236735520810022,-0.1337388937866855,-0.20715618499556154,-0.11774333655107114,-0.187064110237298,-0.14330859604227722,-0.0883752485495565,-0.1581578766025624,-0.1106824375741764,0.004021181571202055,-0.06195164463410014,-0.05476415281735106,0.05324999062315512,0.015455288396049425,-0.1441744713777868,-0.04278065598717464,-0.00430625441388624,-0.09099454071513495,-0.13639706481769692,-0.06029509870904003,-0.04643059333310708,-0.113843154795117,-0.08379403408038474,0.07917860390937949,-0.01871685856230625,-0.03486231031459645,-0.0026159032741222264,-0.028049368572161715,0.12033904718706247,0.31818699704485914,0.12308275724528543,0.0998117588634017,0.27859384697486583,1.0,0.0995039846813716,0.47535485533306215,0.43701594492612345,0.2407996080047446,0.02244193264874352,0.08219843218980284,0.32410402811172173,0.35079115236803576,-0.048505708522624695,0.06333292680572292,0.05796254201467865,-0.11055587918228917,0.07819505596301084,-0.19996204135676834,-0.10194191831737169,-0.03976492727202853,0.27828483351166866,-0.07047458314931476,-0.049691076492048174,0.22279434673891038,0.4244646171740086,0.13236013714741102,0.2634856023298794,0.09587589894715438,0.609640701334686,0.1292805484972113,0.18842017257080004,-0.11161271533150707,-0.2948146264436537,-0.1470175868214768,-0.27978042552580124,-0.09014316961841791,-0.1721173244481365,-0.04404554292824716,-0.01631971635145532,-0.1373868195013494,-0.06010289349261023,0.14557409224439405,0.08909740291048805,-0.14854731090839218,-0.3197101693492184,-0.05075439374751411,-0.16909449924313472
Breast-AdenoCA,0.16987356317713878,0.23852988624344196,0.303107083224258,0.42623837097025075,0.03038414392766786,-0.006480014509383516,-0.08094971485442327,0.2540474447784274,0.04667556726139971,0.08508977355765303,0.005247255894731735,0.07668673003274273,0.013407994188274408,0.014340741933242583,-0.20013941624970902,0.12978723449779214,-0.036065930253134516,-0.004522422680022186,1.0,0.00940191899897308,-0.14924087591832638,-0.1417306693517293,0.3603438350415746,-0.09760659513837147,-0.12962193990907805,-0.03177560347625531,-0.052943955218423794,-0.051388235359969406,-0.03684966361388178,-0.027265897924290912,0.012566020549100504,0.013176515091718482,-0.04320755395642214,-0.098457509624085,-0.013514002386196964,0.03203417747966716,0.10582365761448613,-0.09616114315543127,-0.09418735535779355,0.03797589656306782,-0.03332800876898486,-0.06287420267789878,0.025969202011175804,0.04311071180958185,0.0007586891456149883,0.021014082237984136,-0.00699831675476653,-0.01779255232948997,0.3610588250595964,0.11807026090360233,0.0346121135778662,0.7196913566017279,0.17620515714245186,-0.04896549268272739,0.06867924542999812,0.3480728018001012,0.021327082749280826,0.010666645607072254,-0.07481958071581271,0.10358817751308019,0.37940920361378516,0.02250865153404567,-0.021257285319395938,0.2787155264597641,-0.14420418555118772,-0.05850756086482427,-0.23599473466720366,-0.12025908851676835,-0.0732594205255737,-0.01666241723811774,-0.209637660876682,-0.08410978441649597,-0.03767857052359959,0.04010619978813573,-0.21206191380491088,0.03500841417355188,-0.1031664777919875,0.09070904345221238,-0.16664933851677907,-0.03818666360808251,0.24076428408636794,0.057018820319283875,-0.04864073980828226,0.24638699265504513,-0.018874676618427406,-0.12533747052585104,-0.07337103329877336,0.05339443033276409,-0.06469039719127834,0.10840255180269796,-0.05343759162896885,0.19874172207847896,-0.0048776718125410545,-0.1627332465331363,0.00040213476714078694,0.08843056100339011
Breast-DCIS,0.2627997824901199,0.32224287558560377,0.16011564764176273,0.4550440977017383,0.3326875322429298,0.1601323632782477,-0.22956732371218405,0.38719211953170907,0.32226809034068093,0.12499168143938764,0.05941372600303421,0.13013830520024341,0.6098291495576249,0.2018734004478735,0.040641910978806935,0.2454336462807459,-0.24363150400411845,0.09060377111061006,-0.1092283527817909,-0.27343014784181807,0.0401777965295172,-0.22030143844899783,-0.02167893326169564,-0.20031862976062756,-0.03693319706790403,-0.22379962407146362,-0.252127882481804,-0.21594640439730084,-0.03759344794565506,-0.0038125152605956595,-0.26591230419172984,0.18627883975465412,-0.18344961046301186,-0.06756185988235307,-0.00801340477573001,-0.13454859517200043,0.15672701316446172,0.019780084506888757,-0.12236583007414728,0.08337615947603043,-0.006847124201094973,-0.08607417121167686,0.04092098953212782,-0.07662186375076967,0.3300318033353764,0.14448057776142384,-0.05282666281277934,0.4108229485353384,0.3152386433668695,0.5238043421884204,0.12127182282819758,0.8279445023432633,0.17980315541201114,0.1243510126772745,0.015452416882228122,0.3413612566778524,0.0846468253878379,0.39910782228078,0.21458671239699684,0.3779686766148784,0.377882749350099,-0.008278501086948014,0.2886739636066042,-0.011766370225247624,-0.23069638837004108,-0.009582867793737569,-0.3477717324417677,-0.17572126953957953,-0.19073376332645064,-0.17200395699619628,-0.3442038552888906,-0.27390564641431636,0.1356011171958491,-0.030550670699698093,-0.23518234337438038,-0.01270638840576532,-0.1131925180529688,0.11556146481266477,-0.12759837026682025,0.005577383270808661,-0.018183591749864496,-0.028933717235299854,-0.3459920447968984,-0.19463140750531022,0.02652442881558664,-0.14200473619873763,-0.2116946345449969,-0.05031197863785174,-0.08376945599816274,-0.034398941648381975,1.0,0.28960810600593023,0.018246229808158567,-0.3377159690656779,-0.17038388670874668,-0.1997995950164464
Breast-LobularCA,0.1823599778002086,0.4012365139620784,0.26782103649779077,0.4427419642039289,0.03680280346157868,0.09334556611776493,-0.22020705523706283,0.44851339904111504,0.042773238590061526,0.2105946457558687,0.22692057059424234,0.08864183725223679,-0.04059680776806259,-0.07255224110596128,-0.3480938759622225,0.05693057696365919,-0.11213569013654706,-0.01093772429974847,0.4240440985285885,-0.11081730684131756,-0.12941337719298285,-0.19250316399024672,0.007684102782935859,-0.16202487873192548,-0.17962500903698175,-0.043969804817912024,-0.1085828699421466,-0.06582500538136866,-0.029283374117131035,-0.03601536651224731,-0.042357575094160584,0.022655320135984234,-0.12148860298144244,-0.029579400599818343,-0.0602576350217708,-0.07194899073103267,0.6186799620332961,0.3238399886348719,-0.12160321138289974,0.3153941853683076,-0.0018865470353052933,0.08535805303925076,0.10726565538884014,0.14247025101654187,0.006623822562032341,0.014829626522236041,0.0829354827671548,-0.027596371885961615,0.626976373572461,0.316709562771789,0.091730113221317,0.9991243047806724,0.1688069577843419,-0.05681404940604735,0.08762149286040796,0.5372108294328755,0.11019008816412172,0.33613908433169615,0.03651321841349316,0.15062810619772,0.5399404091540756,0.0545377555469326,-0.03393955120493304,0.26087686284675055,-0.22026611690358908,-0.07450597333791062,-0.39787944582954343,-0.17649738365221887,-0.11491608669966134,0.04146240205031412,-0.34917785215164804,-0.18784430566719038,0.02993272248695787,0.2374402771809175,-0.30654408377633163,0.12636128900166196,-0.08014894596066116,0.0936371920594719,-0.24658799051978839,-0.06729310085840762,0.36829056780860225,0.07619780819091597,-0.2566806456725827,0.2310516485885712,0.05287502604984129,-0.1209744420262591,-0.16545729133765047,-0.038688738123800304,-0.1296625150583361,0.18492142222892624,-0.09909686494743336,0.4150381757062834,-0.013518669139453184,-0.23902508109266893,-0.043982227110843444,0.14409746039972696
CNS-GBM,0.03007842570052286,0.2286431075851964,-0.043560910851251806,0.47623172405190467,0.07032101416884806,0.14851375830253657,-0.26545485977564165,0.39408704271357686,-0.16298998436076303,-0.07853671034230635,-0.3173300870923847,0.05845882153564252,-0.13033213346454386,-0.133187524518266,-0.26656256637569314,-0.05748881208790957,-0.11801293454791685,-0.20325016319236872,-0.19262653074785913,-0.15272022690831832,-0.2460706118734841,-0.2976383709938561,-0.32838304332052665,-0.26044841177645217,-0.23874505125018006,-0.20140854651701962,-0.2885265379793895,-0.20572579497908683,-0.08391984245010306,-0.18373870069892484,-0.2639097169319567,-0.016421173536489485,-0.00510891076639561,-0.04907859037281958,0.05320715009378414,-0.03721827414191325,0.5562835369567393,0.031165483397625437,-0.15660041570152788,0.14798115803728698,0.057766020529173984,-0.034165191811343344,-0.005993936619390981,0.010474612936796877,0.30729040182865364,0.01137499504547461,0.03844658377871198,0.035700565715793685,0.26938447281501987,-0.06153188079998229,0.007546328299724529,0.4429151296435888,1.0,0.26649937707048044,0.5066537924440673,0.7881386629959309,0.19816082932201798,0.0005628610391195066,0.06006990565819859,0.6429377593900832,0.05816499320458127,0.03212178782625882,0.058165625991641524,0.11587188548560048,-0.1935272843005482,-0.08146570303555724,-0.25621430805003087,-0.13979604803727225,-0.21560936027719743,0.018367636788355405,-0.2902400852071519,-0.12058103312864137,0.031770863745639456,0.09405264923740145,-0.16336631907815322,0.15239867241469615,-0.1358744468447285,0.10798028581519478,-0.18160845274281115,0.013795928052529813,0.0276378628204782,-0.27559395572107936,-0.23740518235066196,-0.2831432711333483,-0.18994025499761275,-0.28331215849799984,-0.22241806109003157,-0.3045223869046109,-0.22522965164832556,-0.18553701272520243,-0.16963808417598353,-0.1285097708418408,-0.20757061198611118,-0.30975989066644877,-0.21934236538269092,-0.26983771206878926
CNS-Medullo,0.11225328022578597,0.40010323186754926,0.17009449389767148,0.3208432429172013,0.06038173477845331,0.14252769487080053,-0.1669663107830138,0.3795166689509868,-0.04105918743166523,0.05770321231144795,-0.06984045900539008,0.030769320701326812,0.09327678489901778,-0.04747090466505542,0.03041698801751771,0.2585022393548713,0.18469377717239682,0.07653624233323501,0.11302555116875593,-0.0908382372759328,-0.3035457979708265,-0.429577945256939,-0.025330833069156837,-0.4246416389040389,0.03504160076959092,-0.0539345451101511,0.021058858912780077,-0.23546670721917856,-0.22749750519500506,-0.2659375860350556,-0.020946461597037187,-0.259347592290531,-0.04529487235140267,0.031237186102282617,-0.0015818985289400992,0.02492842129963326,0.13196773130597791,0.3207800800611702,-0.12368586749686578,0.17176548780952539,0.10332079969542163,0.3213662697619793,0.05332538285093037,0.30085859274780113,-0.05782531369105381,0.03250787424927346,0.05487725460843867,0.2032808531374517,0.4222883896455341,0.06361685026290882,-0.12120952047077022,1.0,0.7120883646531162,0.08505892903170115,0.30165384088349095,0.5083071621199566,0.0761377182144277,-0.03812601148913306,-0.04373749244638687,0.2517656651543605,0.4184139201354484,0.0027066268783531734,-0.048054556586720074,0.044835754744281406,-0.2205803176887795,-0.11842400350080852,-0.4229322126497241,-0.22547360401707534,-0.20991614665933486,0.10641648514752805,-0.3730419894972839,-0.15034238297617672,0.23257973049264283,0.3919951152163311,-0.15792250621810364,0.32064708217419596,-0.005343924071752671,0.5609418641331515,-0.12159032794596879,0.1554582742274943,-0.005368059127738655,-0.2548533593502808,-0.2774269895411514,-0.3602726546719384,-0.15334972074577005,-0.3579946323223658,-0.246339810882301,-0.42746650043226186,-0.16618012007362107,-0.16019438042765086,0.039022173061302325,-0.028020715514012244,-0.19962992477532351,-0.4299537747684331,-0.2750186056345558,-0.32149627636838957
